"mdbf1_pre","mdbf2_pre","mdbf3_pre","mdbf4_pre","mdbf5_pre","mdbf6_pre","mdbf7_pre","mdbf8_pre","mdbf9_pre","mdbf10_pre","mdbf11_pre","mdbf12_pre","lz","extra","vertr","gewis","neuro","offen","prok","nerd","grund","fach","ziel","wissen","therap","lerntyp","hand","job","ort","ort12","wohnen","uni1","uni2","uni3","uni4","attent_pre","gs_post","wm_post","ru_post","attent_post"
1,2,2,3,3,2,2,2,3,1,2,2,4.8,4,3.5,3.5,3,4.5,2.6,2.16666666666667,"Interesse am Fach, Sicherheit, berufliche Perspektiven",3,4,3,5,3,2,1,1,3,1,0,1,0,1,6,3,1.75,2.75,6
2,3,3,1,2,1,3,3,3,2,3,2,5.8,2,4,2,4.5,3,2.9,2.5,"Interesse",5,4,3,4,3,2,1,2,1,2,1,0,0,0,3,NA,NA,NA,NA
3,2,3,2,2,3,3,3,3,3,2,2,3.2,2.5,3,5,3.5,4.5,1.8,4.33333333333333,"Etwas sinnvolles für die Gesellschaft",3,2,5,5,1,2,2,2,2,4,0,1,0,0,6,3,2.5,3,6
3,1,3,1,3,3,3,3,3,3,2,2,5.4,4,3.5,3.5,4,3,2.5,2.83333333333333,"Um Zugang zur Therapeutenausbildung zu bekommen",4,2,3,4,3,2,1,1,1,4,0,1,0,0,5,2.25,2,1.5,4
3,3,1,1,1,3,2,3,1,3,1,3,5.6,4.5,NA,3.5,2,3.5,2,2.83333333333333,"Interesse warum die Psyche der Menschen so funktioniert, wie sie funktioniert ",1,1,3,5,1,2,1,1,1,3,0,0,1,0,5,3.75,3.25,3.25,6
2,1,3,2,3,2,4,2,2,1,2,2,4.6,2.5,4,3,3.5,5,3.5,3.5,"Interesse am Studium",3,4,3,5,1,2,2,2,2,2,0,1,0,0,5,2,1,1.75,5
3,3,2,1,1,3,2,4,2,2,1,3,4.6,2.5,2,3,4.5,5,2.9,2.83333333333333,"Psychologie ist überall, sie erklärt die meiste Zahl von allem was passiert",4,2,4,5,1,2,1,2,1,3,0,0,0,0,5,4,3,3.5,6
4,3,1,1,1,4,2,4,1,3,1,3,5,3.5,2.5,4.5,3.5,5,2.6,3.5,"Ist seit Jahren mein Ziel ",1,3,5,5,3,2,2,1,1,4,0,1,0,0,6,NA,NA,NA,NA
4,4,1,1,1,4,1,4,1,4,1,4,6.8,4.5,2.5,4.5,1,4,1.8,3,"Interessantester Studiengang",1,1,5,5,1,2,2,NA,2,3,0,1,0,0,6,4,4,4,6
3,4,2,1,3,3,4,4,1,2,1,3,5.8,4.5,3.5,2.5,2.5,2.5,3.1,2.5,"Großes Interesse am Fach und am späteren Beruf",4,2,5,5,1,2,2,1,2,1,0,1,1,1,6,3,1.5,2.75,5
3,4,1,1,1,2,1,3,2,2,1,3,5.8,3.5,2.5,5,3,5,1.6,4.33333333333333,"Um anderen Menschen helfen zu können",2,2,5,5,1,2,1,2,1,1,0,1,1,0,5,4,3.75,2.75,5
4,4,2,2,1,2,1,3,3,4,2,3,6.2,4.5,3,4.5,3.5,3.5,2.7,1.66666666666667,"Akademisierung meines Berufes in der Psychiatrie",4,2,5,5,2,2,1,2,2,1,0,1,0,0,6,3.25,3.75,3.25,6
2,1,2,2,1,3,4,2,1,2,1,3,4.2,3.5,2.5,3.5,1.5,5,2,3.5,"Interessant ",2,3,4,5,1,1,1,1,2,4,0,1,0,0,5,2.75,1.75,2.5,5
3,3,1,1,1,4,1,3,1,2,1,3,4.4,3,4.5,4,3.5,4.5,2,2.16666666666667,"passt zu meiner Persönlichkeit/Interessen",2,2,3,4,3,2,2,1,2,3,0,1,1,0,6,3.5,3,3.75,6
3,3,3,1,1,2,3,4,1,3,1,4,4.8,3,3.5,3,4,1.5,2.8,2.66666666666667,"aus Interesse",4,2,3,4,1,2,1,2,1,2,1,0,0,0,5,NA,NA,NA,NA
3,2,2,2,2,2,2,2,4,3,3,3,5,4.5,3,4,2.5,5,3,3.16666666666667," Mischung aus Natur- und Gesellschaftswissenschaften, Interesse am Gehirn",2,3,4,2,1,2,1,1,1,2,1,1,1,1,5,3,2.75,2.5,4
3,2,1,1,2,3,3,4,1,3,2,3,6.6,4.5,3.5,4.5,2.5,5,2.6,3.33333333333333,"Viele Arbeitsfelder ",4,2,3,4,3,2,1,1,2,1,0,1,1,1,6,3.25,1.75,2.75,6
4,3,1,1,2,4,3,4,1,2,1,4,6.6,4.5,3,4,2.5,4,1.8,2.16666666666667,"Interesse am Erleben und Verhalten des Menschen",3,2,3,4,3,2,2,1,2,1,0,1,1,0,5,3.75,2.5,3.5,5
2,1,2,1,2,3,3,3,1,2,1,4,4.6,1.5,3.5,3.5,3,2.5,2.2,4,"Interesse am menschlichen Verhalten und an der Wissenschaft",2,3,5,3,3,2,2,2,1,2,0,1,0,0,5,3.75,3.25,3.5,5
2,1,3,3,3,1,4,2,3,1,1,1,6,4,4,4.5,3,5,2.1,3.33333333333333,NA,4,2,3,5,3,2,1,1,1,3,1,0,0,0,6,3.25,1.25,2,6
3,2,4,2,2,1,2,3,3,2,3,1,5.6,4,3.5,3,3,4,2.6,3.5,"Interesse an dem inneren des Menschen und den Abläufen ",1,4,2,4,3,2,1,2,1,2,0,1,0,0,5,NA,NA,NA,NA
3,3,1,1,1,2,1,3,2,3,1,2,6,2.5,4,5,4,3,1.6,4.16666666666667,"Das vermittelte Wissen ist sehr spannend und es besteht die Möglichkeit mit Menschen zu arbeiten.",4,2,3,5,1,2,1,2,1,3,0,1,0,0,6,3.75,3.25,3.5,6
3,4,2,1,1,4,3,4,1,2,1,3,4,4,3.5,4.5,3,5,1.5,3.5,"Interesse",5,3,5,3,3,2,1,1,2,1,0,1,0,0,5,4,4,3.5,5
3,3,4,2,2,1,2,3,3,2,3,1,2.6,1.5,3,4,4,4,2.2,3.83333333333333,"War schon immer mein Traum ",4,2,4,5,1,2,2,1,1,3,0,1,0,0,5,3.75,3.5,2.5,5
2,2,2,1,1,2,4,2,3,1,2,2,4,2,5,4,4,3,1.9,2.5,"Traum ",4,2,4,4,1,2,1,2,1,3,0,1,0,0,4,3.75,2.75,3.25,6
2,3,3,2,1,1,3,1,4,1,3,2,3.8,4,4.5,4,3.5,2.5,1.9,2.33333333333333,"großes Interesse",3,2,2,5,3,2,2,1,2,1,0,1,1,0,6,2.5,2.5,1.75,5
3,2,3,2,3,2,2,3,3,2,2,2,4.8,3,3.5,4,5,3,2.7,2.5,"Interesse an psychologischen Inhalten und Verhalten des Menschen auch in Freizeit. ",4,NA,3,5,3,2,2,1,2,1,0,1,1,0,5,2.75,2,2,6
3,3,2,3,2,2,2,3,2,3,3,2,4,3,3.5,3.5,4,4,2.5,3.33333333333333,"Menschen helfen, Gutes tun, Veränderung",4,4,4,4,3,2,1,1,2,3,0,1,1,0,6,3,2,2.5,6
2,3,2,2,2,1,3,3,2,3,2,2,6.2,3.5,5,5,3,2.5,2.1,1.16666666666667,"Interesse am Verhalten des/der Menschen, etwas bewirken wollen",4,2,4,5,3,2,1,2,2,2,0,1,1,0,6,3.5,2.75,3.5,6
4,3,2,1,2,3,3,3,2,3,3,3,6,5,3,2.5,3,4.5,3.3,2.33333333333333,"Ich will Therapeutin werden und Menschen helfen, in dem ich sie verstehe",4,2,3,5,3,2,1,1,2,1,0,1,1,0,6,3.5,2.75,3.5,6
2,3,1,3,1,2,1,3,2,3,3,2,4,3.5,3,3.5,5,4.5,3.3,2.16666666666667,"Aus Interesse",3,3,3,4,1,2,2,1,2,4,0,1,1,0,6,3,3.75,3.75,6
3,2,3,3,3,1,2,2,4,2,3,1,5.2,2.5,4,4,4.5,3,2.9,2.83333333333333,"Interesse hat in der Schulzeit begonnen",4,2,2,4,1,2,2,1,2,1,0,1,1,0,5,3,2.5,2.75,4
2,3,1,1,1,4,2,3,1,3,1,4,5.4,3,3,4.5,1.5,5,1.5,2.83333333333333,"Hohes Interesse an wissenschaftlichem Arbeiten und an der Psyche des Menschen ",4,2,4,4,3,2,2,1,2,3,0,1,0,0,6,3.75,4,4,6
2,2,3,3,3,2,4,2,2,2,3,2,2.8,3,3,2.5,2,5,3.6,3.16666666666667,"weil es das für mich interessanteste Studienfach ist ",2,1,4,4,3,2,1,2,2,1,0,1,0,0,6,NA,NA,NA,NA
3,2,3,1,2,2,3,3,3,3,1,2,4.6,3.5,3.5,2.5,4,4,3,2.33333333333333,"Interesse am Thema",4,2,3,4,2,2,1,1,1,1,0,1,1,0,5,3.5,3,2,4
3,2,3,1,3,3,3,3,2,3,2,3,4.6,3.5,2,1.5,3,3,3.3,1.5,"NC",4,2,2,4,1,2,1,1,1,1,1,0,0,0,5,1.75,2,2.5,5
3,2,3,3,4,2,4,2,1,1,3,1,5,3.5,3.5,3,4,3,3.2,2.66666666666667,NA,NA,4,3,5,3,2,1,1,2,1,0,1,0,0,6,2.75,1.75,3,6
3,2,2,2,3,4,2,3,2,3,2,3,4,4,3,4,2,3,1.9,2.5,"Arbeit mit Menschen",4,2,4,3,1,2,1,2,1,1,0,1,1,0,5,3,3,3,6
3,2,1,1,2,3,3,3,1,3,1,3,6,2.5,4.5,3.5,3,4,2.2,2.83333333333333,"Der Wunsch Therapie anbieten zu können",4,2,5,5,1,2,2,2,1,4,0,1,0,0,5,3.75,2.25,3,5
3,2,2,1,2,2,2,3,3,3,1,2,5.6,4,3.5,4,4,4,2.5,3,"Interesse an menschenbezogener Arbeit und an den psychischen Vorgängen im Menschen",4,2,4,5,3,2,2,1,2,1,0,1,1,0,5,NA,NA,NA,NA
2,2,3,3,3,2,2,2,3,2,3,1,4.2,3,3.5,2,4.5,4.5,3.2,3.33333333333333,"Interesse",4,3,5,4,3,2,2,1,1,3,1,1,1,0,5,NA,NA,NA,NA
3,1,3,2,3,3,4,3,1,2,2,3,4.8,2.5,3.5,4,3.5,4.5,2.7,3.16666666666667,"Faszination, Übereinstimmung mit Wertevorstellung",4,2,4,5,1,1,2,2,1,3,0,1,0,0,6,3.25,1.25,3,6
3,2,1,1,2,3,2,4,2,3,1,3,6,3.5,3,4,3,5,2.5,3.5,"breit gefächert, viele Möglichkeiten, Interesse",1,3,4,5,3,2,2,1,2,1,0,1,1,0,6,3.25,3,3.5,5
4,2,2,1,2,3,3,4,2,2,1,3,4.2,3.5,4,2.5,4,4.5,2.8,3.16666666666667,"Interesse an Gründen für menschliches Handeln",1,1,4,5,3,2,2,2,1,2,0,1,1,0,6,4,2.25,3.25,6
3,2,1,4,2,4,4,3,2,3,1,3,6.2,3,3.5,4.5,3.5,4,2.3,4,"Mein Wunsch",3,1,5,5,3,2,1,1,2,1,0,1,0,0,5,3.75,4,3.25,5
4,4,1,1,2,3,1,4,3,3,1,3,6.2,2,3.5,3,5,4.5,3.8,3.83333333333333,NA,2,3,3,5,1,2,2,1,2,3,0,1,1,0,6,NA,NA,NA,NA
1,2,2,3,2,2,3,2,2,2,3,1,3.2,2,1,4.5,2.5,5,2,3,"Berufsperspektive",4,2,4,5,1,2,2,1,1,4,0,1,0,0,6,3.25,2.25,3,6
3,2,1,2,3,4,3,3,1,2,2,4,4.2,2,3.5,2.5,2,3.5,2.6,4.16666666666667,"Keine Ahnung",5,3,5,4,1,2,2,2,1,2,1,1,1,0,6,2.75,1.75,3.75,6
3,3,1,1,1,4,2,3,1,2,1,3,5.6,1.5,1.5,3,1.5,2.5,2.1,4,"Kein spezieller Grund",5,1,3,4,1,1,1,1,2,3,0,1,1,0,6,3.5,2.75,3.75,6
3,3,2,2,3,3,2,3,1,3,2,3,4.6,4,2,2.5,2.5,3.5,2.4,2.5,"persönliches Interesse ",1,2,4,4,3,2,2,1,2,1,0,1,1,0,6,3.25,2.75,3.5,6
3,3,2,1,4,3,1,4,1,3,1,3,6.6,4.5,3.5,3.5,3.5,5,2.4,2.33333333333333,"Interesse an menschlichem Verhalten",3,4,2,4,3,2,2,1,1,1,0,1,1,1,6,3.25,2.75,2.75,5
2,2,3,2,3,2,3,2,3,2,2,1,4.2,2.5,3.5,4,4,4.5,2.7,3.83333333333333,NA,4,2,4,5,3,1,2,2,2,2,0,1,0,0,6,3.25,2.75,3.25,6
1,2,4,2,2,1,2,2,4,1,4,1,1.6,2.5,3.5,4,5,3,2.3,3.5,"Interesse, Faszination Gehirn",2,4,4,4,1,2,2,2,2,2,1,1,0,0,4,2,1.75,1.75,4
3,2,1,1,1,3,3,3,1,2,1,3,4.6,3.5,4.5,4,3.5,3.5,2.2,3.16666666666667,"weil es mich unfassbar interessiert und ich mehr lernen will",2,3,4,5,3,2,2,2,1,2,0,1,1,0,6,3.25,3,2.5,6
3,3,2,2,2,2,2,3,2,3,3,3,5.4,3.5,3.5,3.5,3.5,2.5,2.4,2.33333333333333,"Breites Berufsfeld, um aktiven Einfluss im Leben anderer zu haben und ihnen zu helfen",3,2,3,5,3,2,1,1,1,2,0,1,1,0,6,3,3.25,2.75,6
2,3,3,2,3,3,2,2,2,2,2,2,5.8,3,3.5,4,3,4,2.4,2.83333333333333,"Psychotherapeutin werden wollen",4,2,3,5,1,2,2,2,1,2,0,1,0,0,5,2.75,2.75,3,5
3,3,1,1,1,3,1,3,1,2,2,3,6,3,3,3,2,2,2.6,2.5,"Interesse an der Psychologie des Menschen",NA,2,3,4,NA,2,1,1,1,NA,0,1,0,0,5,NA,NA,NA,NA
3,3,1,1,3,3,2,4,2,4,1,3,5.8,4.5,3,3,1.5,3.5,1.8,2.33333333333333,"Berufswunsch",3,2,5,4,3,2,1,1,1,2,0,0,0,0,6,2.5,2.25,2.5,6
3,3,1,2,2,3,2,3,1,2,1,3,5,2.5,5,3.5,5,4,2.8,2.66666666666667,NA,2,3,4,4,1,2,2,1,2,NA,0,1,1,0,5,3.25,2.25,3.5,6
2,2,2,1,3,3,4,4,2,2,2,3,3.6,3,3,4,1.5,4.5,2.1,2.33333333333333,"Verhaltensmuster vorhersagen ",4,2,3,4,3,2,1,2,1,2,0,1,0,0,5,3.75,2,3,4
2,2,4,3,2,1,3,3,4,1,4,1,7,4,3,2,2.5,2,3.4,2.66666666666667,"Interesse an der Psyche des Menschen ",2,3,3,4,3,2,1,1,2,1,0,1,0,0,5,2.25,2,1.75,6
3,3,2,1,3,2,3,3,3,2,3,2,6.2,4,2,3.5,4.5,5,2.2,3.16666666666667,NA,2,4,3,5,1,2,1,1,2,4,0,1,1,1,6,2,2.25,2,4
3,3,3,1,1,1,1,4,2,3,2,2,6,3.5,3.5,3,3.5,1.5,3,2.83333333333333,"Persönliches Interesse ",4,2,4,4,1,2,1,1,1,4,1,1,1,0,5,3.25,2.25,2,4
4,3,2,1,2,3,2,3,1,3,2,3,6.4,3,4.5,4.5,3.5,3,2,3.83333333333333,"persönliches Interesse",2,2,4,4,3,2,2,1,2,1,0,1,0,0,6,3.75,3.5,3.25,6
3,3,2,1,2,3,3,3,2,3,1,3,5,2.5,4,4,3.5,3,2.2,2.66666666666667,"Berufswunsch",4,4,4,5,3,2,2,1,2,3,0,1,0,0,5,3.25,2.25,3.25,6
3,2,2,2,2,3,2,3,2,2,2,3,5.4,3.5,3.5,4,4,2,3,3.5,"Interesse für das Menschliche Verhalten",5,3,5,4,3,1,1,2,1,2,1,1,0,0,4,3.25,2.25,3,4
3,2,3,1,1,2,2,4,2,3,1,2,5.8,3.5,4,3,3,4.5,2.8,3.16666666666667,NA,4,NA,5,5,NA,1,2,2,1,4,0,1,0,0,5,3,3,2.5,3
4,3,1,1,1,4,3,4,1,2,1,4,5.8,2.5,3,4,2.5,4,1.9,2.5,NA,4,2,2,4,3,2,1,2,1,3,0,1,1,1,6,3.75,3,3.75,6
3,3,3,1,1,3,2,3,2,3,2,2,3.8,2.5,4,3,4,4.5,3,3.5,"Mich hat die Psyche und das Verhalten von Menschen interessiert",1,1,3,5,3,2,2,1,2,1,0,1,1,0,5,3.25,3.25,3.25,6
4,3,2,1,1,3,2,4,1,4,1,3,6,4,3.5,4,2,4,2.2,2.66666666666667,"Verhaltensweisen verstehen, Psychisch erkrankten Menschen helfen, ",4,2,4,5,3,1,2,1,2,4,0,1,1,1,5,NA,NA,NA,NA
3,2,1,1,2,2,3,3,2,3,2,2,5.8,4,5,4,4.5,4.5,1.6,3.5,"Interesse, Wunsch in diesem Feld beruflich tätig zu sein.",4,2,3,5,3,2,1,2,2,4,0,1,0,1,6,NA,NA,NA,NA
3,3,1,1,1,4,3,4,1,3,1,2,4.8,3,4.5,3.5,3.5,3.5,2.4,2.66666666666667,"Interesse zufällig durch ein Buch gefunden",2,2,5,5,3,2,1,1,2,4,0,1,1,1,6,3.75,3,3.75,6
3,4,2,2,2,4,1,3,1,2,3,3,6.8,4.5,4,2.5,4,5,3.4,3.16666666666667,"Interesse",4,2,3,5,1,2,1,1,1,3,0,1,1,0,6,NA,NA,NA,NA
3,2,2,1,4,2,3,3,3,2,3,1,3.6,1.5,2,3.5,4,2,2.8,3.16666666666667,"Ich möchte einen Teil beitragen.",4,2,2,5,3,2,1,1,2,1,0,1,0,0,6,3.5,1.75,2.75,6
3,1,3,1,3,3,3,4,2,4,1,2,6.2,4.5,4.5,3.5,3,2.5,3,2.66666666666667,"Traum ",2,3,5,4,3,2,1,2,2,2,0,1,1,0,6,3.5,2,3.5,6
